userId,movieId,rating,timestamp
357,5464,4.0,1348610439
525,914,4.0,1476478038
357,246,4.5,1348610492
211,48780,4.0,1350912288
61,27831,4.0,1145532546
600,1258,3.5,1237850727
474,4623,2.0,1002929032
414,377,4.0,961513948
331,7458,3.5,1537158076
536,110,5.0,832839862
318,1527,4.0,1261342558
387,1073,4.5,1094877164
381,31804,4.5,1200823769
292,4085,3.5,1293562848
91,32,4.0,1112711273
139,3969,0.5,1453924592
91,368,3.0,1112713426
301,1680,3.5,1211376361
164,1196,4.0,999708174
525,91529,3.5,1476476041
336,186,4.0,1120568049
474,2529,4.0,1051017513
475,6539,4.5,1498029484
514,49272,3.5,1533949392
140,2023,4.0,1035368843
159,88810,3.5,1508641043
34,4369,3.0,1162050120
311,589,3.0,1057854702
64,1221,5.0,1161528995
329,130482,4.0,1523468254
602,440,4.0,840875801
555,2506,5.0,978747153
21,170,2.0,1376823399
232,48161,3.0,1182909773
603,1310,5.0,954481981
606,3831,4.0,1171811599
149,1206,3.0,902084874
336,2571,5.0,1122227310
246,36363,3.5,1354127293
140,953,3.0,942842215
425,364,3.0,1085477386
477,33166,3.0,1200940292
357,955,3.0,1348610984
105,49272,4.0,1446573697
89,1923,3.5,1520408829
594,367,4.0,1109036766
353,172,2.0,831939875
209,1198,5.0,1524607502
1,2143,4.0,964981725
103,4016,3.5,1431969168
193,97938,4.0,1435857055
474,599,3.0,1116256919
483,2012,4.0,1178293737
45,333,4.0,951170509
6,4,3.0,845554349
385,412,2.0,834692360
462,2959,3.5,1154037881
199,2791,5.0,1023654612
238,3101,4.0,1007931050
328,953,5.0,1494211083
119,4370,3.5,1435944431
143,40962,3.0,1444880385
477,2036,3.5,1200951743
64,1266,3.5,1161528922
111,58998,5.0,1516141157
408,1909,3.5,1469522210
474,6609,3.5,1107784415
159,157296,4.5,1508641197
512,480,4.0,841449335
91,3836,4.5,1112713063
43,276,5.0,848994265
213,78499,4.5,1316196160
132,32587,4.0,1157921320
346,3535,3.5,1094646631
186,593,5.0,1031073519
484,733,4.5,1342295837
402,434,5.0,849601295
100,4041,5.0,1100184235
17,296,5.0,1305696455
45,3301,4.0,951169736
382,53466,2.5,1515173932
212,8961,3.0,1523216920
414,3079,3.0,965742502
288,2012,3.5,1054569091
388,62999,5.0,1386694287
500,216,4.0,1005527406
480,2571,5.0,1179160175
509,53993,2.5,1435995535
438,5816,4.0,1105649828
510,1304,3.0,1141158793
232,5092,2.5,1218170284
202,919,4.0,974912341
274,3285,2.0,1171786187
141,54286,3.5,1513129892
239,6539,4.0,1221158445
417,4878,5.0,1529283854
599,6,4.5,1498539623
570,589,4.0,1181476984
361,46972,5.0,1204047677
608,4148,4.5,1117415403
381,36708,4.0,1176050640
298,3646,1.5,1447598875
27,2944,4.0,965149533
131,7361,3.5,1349840371
606,30890,3.0,1171500969
461,2762,4.0,1505935252
365,146656,3.0,1488858009
89,3315,4.5,1520409333
448,587,3.0,1019127900
6,302,3.0,845555436
387,6793,1.0,1095119726
42,2671,4.0,996216229
448,5419,1.5,1072963561
419,2571,4.0,1321659031
307,5452,1.0,1186172383
81,318,3.0,845299677
247,6016,4.0,1467644041
608,8970,4.5,1117336987
266,145,3.0,945669980
62,4306,1.0,1521488595
1,1073,5.0,964981680
219,4052,3.5,1198782700
477,3977,0.5,1200941300
410,290,5.0,990807742
187,1921,5.0,1161849913
387,2302,2.5,1117415238
493,1240,4.0,1001562662
335,296,5.0,1261542334
489,2021,4.0,1332775030
466,2571,4.0,1439885067
202,3108,4.0,974923955
292,3098,3.0,1265679618
489,4963,3.5,1333101608
448,5401,1.0,1178982196
448,2571,2.0,1162753923
